French,English
as,AS
je,I
son,her
que,that
il,he
était,was
pour,For
sur,on
sont,are
avec,with
ils,they
être,be
à,To
un,A
avoir,to have
ce,This
à partir de,from
par,by
chaud,hot
mot,word
mais,but
que,that
certains,some
est,East
il,he
vous,YOU
ou,Or
eu,eu
la,there
de,of
à,To
et,And
un,A
dans,In
nous,We
boîte,box
dehors,out
autre,other
étaient,were
qui,Who
faire,TO DO
leur,their
temps,time
si,whether
volonté,will
comment,how
dit,said
un,A
chaque,each
dire,say
ne,born
ensemble,together
trois,three
vouloir,to want
air,air
bien,GOOD
aussi,Also
jouer,play
petit,little
fin,END
mettre,put
maison,House
lire,read
main,hand
port,port
grand,big
épeler,to spell
ajouter,add
même,even
terre,earth
ici,here
il faut,it's necessary
grand,big
haut,high
tel,such
suivre,follow
acte,deed
pourquoi,Why
interroger,question
hommes,men
changement,change
est allé,went
lumière,light
genre,gender
de,of
besoin,need
maison,House
image,picture
essayer,to try
nous,We
encore,Again
animal,animal
point,point
mère,mother
monde,world
près de,next to
construire,build
soi,self
terre,earth
père,father
tout,All
nouveau,new
travail,work
partie,part
prendre,take
obtenir,get
lieu,place
fabriqué,made
vivre,live
où,Or
après,After
arrière,back
peu,little
seulement,only
tour,round
homme,male
année,year
est venu,came
montrer,to show
tous,all
bon,Good
moi,Me
donner,give
notre,OUR
sous,below
nom,name
très,very
par,by
juste,just
forme,form
phrase,sentence
grand,big
penser,think
dire,say
aider,help
faible,weak
ligne,line
différer,to differ
tour,round
la cause,the cause
beaucoup,a lot
signifier,mean
avant,Before
déménagement,moving house
droit,right
garçon,boy
vieux,old
trop,too
même,even
elle,She
tous,all
là,there
quand,When
jusqu’à,until
utiliser,to use
votre,your
manière,manner
sur,on
beaucoup,a lot
puis,Then
les,THE
écrire,to write
voudrais,would like
comme,as
si,whether
ces,these
son,her
long,long
faire,TO DO
chose,thing
voir,see
lui,him
deux,two
a,To
regarder,look
plus,more
jour,day
pourrait,could
aller,go
venir,come
fait,do
nombre,number
son,her
aucun,none
plus,more
personnes,people
ma,my
sur,on
savoir,know
eau,water
que,that
appel,call
première,first
qui,Who
peut,can
vers le bas,down
côté,coast
été,summer
maintenant,NOW
trouve,find
